time_ms,cond_faces_uV,cond_objects_uV,electrode
-200,0.01731304846281504,-1.0051919404799974,P8
-196,0.9232516409071553,0.5431064054543879,P8
-192,0.0746273884813764,0.37388380932763815,P8
-188,-0.7155719946763883,-0.4123100092110026,P8
-184,-0.6061292790854537,-0.08622583561413966,P8
-180,-0.685903030340361,1.0794523530874978,P8
-176,0.02736581173686561,0.17010337349580365,P8
-172,0.3208506667130847,0.599407999662211,P8
-168,-0.16567388908451927,-0.25530729052520557,P8
-164,0.3484964505253377,-1.0620025022106325,P8
-160,-1.1051387130300918,-0.47610105707260103,P8
-156,0.012740439758089032,-0.19253636325469708,P8
-152,0.043197682452459404,-1.0716354404760065,P8
-148,0.1523453272369221,0.5840352857431443,P8
-144,0.1576773026150568,-0.7176093742968066,P8
-140,-0.643845642130578,-0.38801752693731123,P8
-136,-0.20248896642300923,-0.36368858380204144,P8
-132,0.5058343279300259,0.9011903005623578,P8
-128,-0.356841714567925,0.6324094218683568,P8
-124,0.1776952694203558,-0.04668802777572467,P8
-120,-0.2310893814789755,-0.33604473349464,P8
-116,0.7447870680195794,0.2004765484689697,P8
-112,0.6447615079206436,0.0687970127339819,P8
-108,0.00267531966794058,0.2384766606145576,P8
-104,0.06666057456749824,0.1724552628561517,P8
-100,-0.8506440028483276,0.05287585579339892,P8
-96,-0.2559378364293978,0.24986859939158865,P8
-92,0.5814434213154847,0.055669137266069396,P8
-88,-0.38488368292628294,0.2651050734750909,P8
-84,-0.18403381851971798,0.15157905422603057,P8
-80,0.10318371418018095,0.3625980707066862,P8
-76,1.1345118341735498,-0.45296147299521333,P8
-72,-0.2874984736494048,0.2927446360363881,P8
-68,-0.39476911340604737,-0.38916789296867,P8
-64,-0.1304027876473214,-0.008857847308439082,P8
-60,-0.1429438084596156,0.3033029560237474,P8
-56,0.19653159286501873,0.43354434621678983,P8
-52,0.021269076119181926,-0.5181499456919586,P8
-48,-0.2121056700310877,-1.3938524414169111,P8
-44,0.9020490589714515,0.7713981621225854,P8
-40,1.1084125931798783,0.18733878069284857,P8
-36,-0.01360812877249192,0.1442316950692034,P8
-32,0.27016093281019304,-0.10480236791860875,P8
-28,-0.39554625960679285,0.3437231866530252,P8
-24,0.6789155207061401,0.022765131063386238,P8
-20,0.4226285508561836,0.050021904786045984,P8
-16,-0.1906277293305434,-0.16854584337113068,P8
-12,-0.9066343938315038,-0.9822129219275724,P8
-8,-0.3612631991764935,-0.9606366016227769,P8
-4,0.46976298144416806,-0.363368747044787,P8
0,0.38279683864389097,-0.39333762420551055,P8
4,0.7992389189579768,0.5536840738403284,P8
8,0.10288833361282396,0.2159558912904905,P8
12,0.058991165931431486,0.7280306307087768,P8
16,-0.9218154801983021,-0.5896904086911067,P8
20,0.8543687785700944,0.1855221096609966,P8
24,-1.0406516649380304,0.11667084399776315,P8
28,0.6756673855450647,1.2767998987371558,P8
32,-0.028619015871994495,0.9513638456249306,P8
36,0.7403602637923121,-0.23612640591020545,P8
40,0.5946572313612963,0.18805886561583185,P8
44,-0.542952364849387,-0.3030371658000252,P8
48,-0.2193844086769836,-0.10088374803734983,P8
52,-0.8256009355433434,-0.38025579675380017,P8
56,0.219315820311468,0.3008842562169291,P8
60,-0.48629756131602203,-0.8794190778934882,P8
64,0.1459378450561614,0.6718597447780348,P8
68,-0.8185270911620806,-0.19024202276615929,P8
72,-0.2938280194187546,0.3947943551968034,P8
76,0.051672023380678674,0.07536274729039596,P8
80,-0.10508892353624849,-0.021998590781222162,P8
