condition_mean,condition_type,values
70,Manual,72.99641331178236
70,Manual,28.29788964579052
70,Manual,59.56371617995613
70,Manual,101.13099857523893
70,Manual,81.8533407844898
70,Manual,77.34776191358502
70,Manual,89.66593112328793
70,Manual,73.59556226217383
70,Manual,76.19274604220354
70,Manual,64.04362496724232
70,Manual,65.57529389225846
70,Manual,105.83923961866768
70,Manual,83.53865341041882
70,Manual,68.18526704426863
70,Manual,96.03231211716592
70,Manual,27.38053385395379
70,Manual,57.61913078084359
70,Manual,67.20522678735857
70,Manual,80.1245707363682
70,Manual,70.37092679747865
70,Manual,79.5269413170217
70,Manual,70.87671135371512
70,Manual,78.95929835302529
70,Manual,69.96639348719162
70,Manual,78.5428269488823
70,Manual,81.36657416474662
70,Manual,88.23754055210333
70,Manual,45.19142759676634
70,Manual,81.28821246311331
70,Manual,79.01512839009565
70,Manual,72.47120583841074
70,Manual,61.97085490262755
70,Manual,90.18226609765117
70,Manual,77.57232155433925
70,Manual,70.59190515897771
70,Manual,50.78214641814296
70,Manual,57.58114458347172
70,Manual,64.89730897467581
70,Manual,46.000946373054155
70,Manual,61.58609865578387
70,Manual,77.30323826710406
70,Manual,65.43654302379404
70,Manual,52.84736450223862
70,Manual,71.91097272328288
70,Manual,68.35346229637642
70,Manual,51.78261018698536
70,Manual,73.98317722429391
70,Manual,85.37958517945131
70,Manual,80.49940339845305
70,Manual,41.42330060056753
70,Manual,65.4491067598351
70,Manual,62.406952219452734
70,Manual,60.594034147615055
70,Manual,87.40839366193048
70,Manual,61.72783091426438
70,Manual,70.00582979742819
70,Manual,56.37390257263528
70,Manual,80.94619449408923
70,Manual,90.57995178231712
70,Manual,66.85706924612411
70,Manual,70.73115560099714
70,Manual,63.418471214695444
70,Manual,67.53509037452365
70,Manual,99.73966480213342
70,Manual,53.79921107185168
70,Manual,74.74834736822592
70,Manual,53.721616262930844
70,Manual,56.5474610415501
70,Manual,63.78607186609873
70,Manual,64.71253123382019
70,Manual,60.493968711978354
70,Manual,68.92120915849294
70,Manual,59.427089819650455
70,Manual,97.39380291961919
70,Manual,49.02240289758833
70,Manual,52.561163913544824
70,Manual,57.49719029948232
70,Manual,72.23159460239671
70,Manual,88.84203471617435
70,Manual,56.203954805594236
70,Manual,61.639972738735864
70,Manual,84.57303669196732
70,Manual,84.01205141007078
70,Manual,74.48510727192581
70,Manual,58.80509024315778
70,Manual,64.505283368456
70,Manual,68.94293247151701
70,Manual,50.999704280313956
70,Manual,83.27979141463162
70,Manual,71.86489929487568
70,Manual,79.08741295658831
70,Manual,93.36123176609097
70,Manual,76.34775465530667
70,Manual,56.85162817555774
70,Manual,86.11895934684325
70,Manual,71.11157963175043
70,Manual,83.52641028913001
70,Manual,65.1026289134481
70,Manual,76.24530527773524
70,Manual,70.29728498530545
70,Manual,60.17252751811986
70,Manual,79.21973868943385
70,Manual,83.67248513388436
70,Manual,64.0820215878943
70,Manual,66.57432463257403
70,Manual,59.710395814133314
70,Manual,105.05785855524155
70,Manual,76.47459350990786
70,Manual,78.71549800287318
70,Manual,98.30026867134784
70,Manual,59.46046540302589
70,Manual,101.95083087225733
70,Manual,67.22174524662911
70,Manual,89.60855948887209
70,Manual,68.42782135538783
70,Manual,53.123213258011305
70,Manual,83.64512019268739
70,Manual,110.0524142059021
70,Manual,73.7325005397193
70,Manual,40.884577610601376
70,Manual,55.25558457183692
70,Manual,54.04769615015635
70,Manual,83.16955330760331
70,Manual,65.92883700756262
70,Manual,77.12980662069164
70,Manual,83.00434792732622
70,Manual,69.0472788571643
70,Manual,50.56210199817968
70,Manual,61.5337293645407
70,Manual,68.63442319985603
70,Manual,59.56931422410854
70,Manual,54.62604325928955
70,Manual,100.91206189447288
70,Manual,66.909770563977915
70,Manual,71.54396574597152
70,Manual,76.72140720058844
70,Manual,86.20760775690356
70,Manual,85.14944322749153
70,Manual,83.42448220437339
70,Manual,38.81058738560732
70,Manual,85.44056398300147
70,Manual,43.1760487421161
70,Manual,75.99319916887289
70,Manual,53.63020426598471
70,Manual,48.94200818774622
70,Manual,37.80756099073236
70,Manual,59.03769279189192
70,Manual,71.18571100965994
70,Manual,72.10551782204423
70,Manual,63.01254933111882
70,Manual,46.97243337851399
70,Manual,60.275478985228
70,Manual,100.45045182022004
70,Manual,74.74125043253973
70,Manual,71.5418862004432
70,Manual,92.77974569270394
70,Manual,69.51768864223739
70,Manual,88.98422571036552
70,Manual,73.25459782778434
70,Manual,86.44886306249474
